,price_000,pop_dens,ses,house,area_m2,num_bath,pcn_green,thefts,year,high_ses,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006
0,60000,830.78,4,0,70,2,1.74,39.92,2001,0,1,0,0,0,0,0
1,140000,826.75,4,1,257,4,0.54,46.0,2002,0,0,1,0,0,0,0
2,38000,914.15,4,0,115,4,1.55,45.87,2002,0,0,1,0,0,0,0
3,110000,911.25,4,1,270,4,1.58,45.88,2002,0,0,1,0,0,0,0
4,120000,757.37,4,1,268,2,0.4,46.0,2002,0,0,1,0,0,0,0
5,140000,759.9,4,1,176,4,0.7,46.0,2002,0,0,1,0,0,0,0
6,170000,794.03,4,1,277,2,0.73,46.0,2002,0,0,1,0,0,0,0
7,190000,766.84,4,1,143,4,0.52,46.0,2001,0,1,0,0,0,0,0
8,120000,630.6,4,1,220,3,1.16,46.0,2001,0,1,0,0,0,0,0
9,130000,386.8,4,1,280,4,0.64,46.0,2001,0,1,0,0,0,0,0
10,60000,473.14,5,0,86,2,0.52,46.0,2002,1,0,1,0,0,0,0
11,70000,193.15,3,0,117,3,0.63,46.0,2001,0,1,0,0,0,0,0
12,75000,340.79,4,0,138,4,0.18,46.0,2001,0,1,0,0,0,0,0
13,58000,838.24,4,0,65,3,0.89,39.44,2002,0,0,1,0,0,0,0
14,100000,937.71,4,1,270,4,1.73,46.0,2001,0,1,0,0,0,0,0
15,60000,951.52,4,0,95,2,1.64,46.0,2001,0,1,0,0,0,0,0
16,42000,705.56,4,0,42,4,0.0,42.42,2001,0,1,0,0,0,0,0
17,100000,823.08,4,1,138,1,0.51,46.0,2001,0,1,0,0,0,0,0
18,135000,744.15,4,1,430,3,0.0,37.97,2001,0,1,0,0,0,0,0
19,160000,326.11,3,1,150,4,0.15,46.0,2001,0,1,0,0,0,0,0
20,108000,871.69,4,1,250,3,0.91,46.0,2001,0,1,0,0,0,0,0
21,180000,840.32,4,1,331,4,0.94,46.0,2001,0,1,0,0,0,0,0
22,39000,657.13,3,1,70,2,0.69,46.0,2001,0,1,0,0,0,0,0
23,36000,834.88,3,0,61,1,0.61,46.0,2001,0,1,0,0,0,0,0
24,163400,222.24,4,1,300,3,0.25,46.0,2004,0,0,0,0,1,0,0
25,240000,564.66,3,1,300,2,0.28,46.0,2001,0,1,0,0,0,0,0
26,40000,743.02,4,0,83,2,0.04,45.82,2001,0,1,0,0,0,0,0
27,77000,403.27,3,0,70,2,2.54,34.0,2002,0,0,1,0,0,0,0
28,190000,886.97,4,1,380,1,0.73,34.0,2001,0,1,0,0,0,0,0
29,150000,376.3,4,1,359,2,0.56,46.0,2001,0,1,0,0,0,0,0
30,120000,805.53,4,1,240,2,0.5,46.0,2001,0,1,0,0,0,0,0
31,350000,416.37,3,1,350,4,1.23,34.0,2001,0,1,0,0,0,0,0
32,170000,895.76,4,1,320,4,0.16,35.65,2001,0,1,0,0,0,0,0
33,160000,861.39,4,1,248,3,1.45,46.0,2001,0,1,0,0,0,0,0
34,20000,424.46,3,0,33,2,0.55,46.0,2001,0,1,0,0,0,0,0
35,27000,701.55,3,0,47,2,0.41,46.0,2001,0,1,0,0,0,0,0
36,65000,610.67,4,0,117,4,0.04,44.55,2001,0,1,0,0,0,0,0
37,180000,831.55,4,1,404,4,0.7,34.5,2001,0,1,0,0,0,0,0
38,160000,909.09,4,1,234,4,0.0,36.42,2001,0,1,0,0,0,0,0
39,55000,828.72,3,1,164,3,1.62,41.28,2002,0,0,1,0,0,0,0
40,64000,885.03,4,0,60,3,0.0,38.31,2003,0,0,0,1,0,0,0
41,140000,396.47,4,1,182,4,0.33,46.0,2004,0,0,0,0,1,0,0
42,150000,833.45,4,1,344,4,0.75,34.28,2001,0,1,0,0,0,0,0
43,245000,902.86,3,1,220,2,1.14,45.62,2001,0,1,0,0,0,0,0
44,46000,478.46,4,0,48,4,0.0,38.74,2001,0,1,0,0,0,0,0
45,150000,846.6,4,1,350,4,0.0,41.08,2002,0,0,1,0,0,0,0
46,82000,826.37,4,1,366,4,1.44,44.94,2001,0,1,0,0,0,0,0
47,48383,427.55,4,0,53,2,0.01,36.12,2001,0,1,0,0,0,0,0
48,130000,251.45,4,1,300,4,0.27,46.0,2001,0,1,0,0,0,0,0
49,58000,757.63,3,0,106,3,0.49,46.0,2002,0,0,1,0,0,0,0
50,47000,567.81,4,0,48,3,0.53,35.01,2001,0,1,0,0,0,0,0
51,100000,626.66,3,1,162,4,1.31,46.0,2001,0,1,0,0,0,0,0
52,130000,830.95,4,1,270,4,1.71,39.11,2002,0,0,1,0,0,0,0
53,57500,816.6,4,0,63,1,0.21,35.76,2001,0,1,0,0,0,0,0
54,21669,877.99,4,0,36,1,0.0,38.86,2001,0,1,0,0,0,0,0
55,90000,780.7,3,1,91,4,0.0,43.61,2001,0,1,0,0,0,0,0
56,85000,890.37,4,0,157,4,0.0,37.9,2001,0,1,0,0,0,0,0
57,40000,738.08,4,0,83,2,0.05,45.85,2001,0,1,0,0,0,0,0
58,76000,603.2,4,0,74,3,2.23,34.0,2001,0,1,0,0,0,0,0
59,35000,833.36,4,0,53,2,0.0,42.34,2001,0,1,0,0,0,0,0
60,140000,545.93,4,1,300,4,0.32,46.0,2001,0,1,0,0,0,0,0
61,90000,803.21,4,1,170,2,1.28,43.18,2001,0,1,0,0,0,0,0
62,51000,658.81,1,0,99,4,0.21,46.0,2002,0,0,1,0,0,0,0
63,55000,460.39,4,0,55,3,0.7,46.0,2001,0,1,0,0,0,0,0
64,55000,463.68,4,0,55,4,0.71,46.0,2001,0,1,0,0,0,0,0
65,32000,866.23,4,0,37,4,0.0,39.78,2002,0,0,1,0,0,0,0
66,110000,764.15,3,1,290,4,1.47,46.0,2001,0,1,0,0,0,0,0
67,210000,678.14,3,1,295,2,0.67,46.0,2003,0,0,0,1,0,0,0
68,100000,864.99,4,1,240,4,0.0,39.87,2001,0,1,0,0,0,0,0
69,380000,826.19,4,1,375,2,0.26,45.08,2002,0,0,1,0,0,0,0
70,112000,247.43,4,1,250,3,0.05,46.0,2003,0,0,0,1,0,0,0
71,45000,801.45,2,1,147,4,1.44,46.0,2001,0,1,0,0,0,0,0
72,37000,693.88,4,0,42,4,0.0,42.48,2001,0,1,0,0,0,0,0
73,150000,546.38,4,1,270,3,0.33,46.0,2001,0,1,0,0,0,0,0
74,35000,834.18,4,0,53,2,0.0,42.27,2001,0,1,0,0,0,0,0
75,58000,440.04,4,0,56,2,0.05,45.65,2001,0,1,0,0,0,0,0
76,276000,298.63,3,1,254,4,0.0,46.0,2001,0,1,0,0,0,0,0
77,150000,725.61,4,1,275,4,0.06,44.91,2001,0,1,0,0,0,0,0
78,46000,833.74,4,0,53,4,1.58,36.71,2001,0,1,0,0,0,0,0
79,75000,398.46,4,0,74,2,3.06,34.0,2002,0,0,1,0,0,0,0
80,185000,814.94,4,1,258,4,0.0,43.77,2002,0,0,1,0,0,0,0
81,130000,871.2,4,1,202,4,1.56,46.0,2001,0,1,0,0,0,0,0
82,50000,650.91,4,0,73,3,0.23,46.0,2001,0,1,0,0,0,0,0
83,100000,933.96,3,1,206,4,1.38,46.0,2001,0,1,0,0,0,0,0
84,60000,589.02,4,0,92,2,0.89,46.0,2001,0,1,0,0,0,0,0
85,90000,835.44,4,1,140,2,0.0,42.17,2001,0,1,0,0,0,0,0
86,120000,471.69,4,1,299,4,0.01,46.0,2001,0,1,0,0,0,0,0
87,120000,406.48,4,1,170,4,3.07,34.0,2001,0,1,0,0,0,0,0
88,120000,894.78,4,1,250,3,0.45,35.17,2001,0,1,0,0,0,0,0
89,57000,697.8,4,0,77,3,0.03,46.0,2001,0,1,0,0,0,0,0
90,90000,923.7,4,1,270,3,1.61,46.0,2002,0,0,1,0,0,0,0
91,145000,896.22,4,1,226,4,0.61,34.0,2001,0,1,0,0,0,0,0
92,80000,889.14,4,1,198,2,0.0,37.99,2001,0,1,0,0,0,0,0
93,67000,893.28,4,0,89,4,1.0,46.0,2001,0,1,0,0,0,0,0
94,96000,856.55,4,1,206,2,1.15,34.0,2001,0,1,0,0,0,0,0
95,70000,730.85,4,1,180,2,1.51,46.0,2001,0,1,0,0,0,0,0
96,58000,466.59,4,0,60,2,0.0,37.08,2002,0,0,1,0,0,0,0
97,90000,891.08,4,0,81,4,0.68,34.0,2001,0,1,0,0,0,0,0
98,125000,434.74,4,1,285,4,0.03,46.0,2001,0,1,0,0,0,0,0
99,64500,489.8,4,1,140,2,0.48,46.0,2001,0,1,0,0,0,0,0
