soda_per_week,fast_food,monthly_earnings,homeowner,acc_produce,health_status,acc_produce_ALWAYS,acc_produce_NEVER,acc_produce_SOMETIMES,acc_produce_USUALLY,health_status_recode
1.0,2.0,5000.0,1,3,EXCELLENT,0,0,0,1,1
1.0,1.0,0.0,0,4,GOOD,1,0,0,0,2
21.0,2.0,3000.0,1,4,EXCELLENT,1,0,0,0,1
0.0,1.0,2000.0,1,4,GOOD,1,0,0,0,2
1.0,3.0,0.0,0,4,VERY GOOD,1,0,0,0,1
14.0,2.0,800.0,0,2,FAIR,0,0,1,0,2
0.0,3.0,5200.0,1,4,GOOD,1,0,0,0,2
0.0,2.0,1600.0,0,4,VERY GOOD,1,0,0,0,1
0.0,2.0,1000.0,0,3,VERY GOOD,0,0,0,1,1
21.0,2.0,1700.0,1,3,VERY GOOD,0,0,0,1,1
2.0,0.0,700.0,1,4,GOOD,1,0,0,0,2
6.0,3.0,167.0,1,4,FAIR,1,0,0,0,2
1.0,7.0,1600.0,1,1,FAIR,0,1,0,0,2
0.0,2.0,950.0,0,4,GOOD,1,0,0,0,2
14.0,0.0,1900.0,1,4,GOOD,1,0,0,0,2
7.0,3.0,1000.0,0,3,VERY GOOD,0,0,0,1,1
1.0,1.0,1120.0,1,4,VERY GOOD,1,0,0,0,1
0.0,2.0,4000.0,1,4,GOOD,1,0,0,0,2
1.0,1.0,1200.0,0,2,GOOD,0,0,1,0,2
2.0,6.0,4000.0,1,3,VERY GOOD,0,0,0,1,1
0.0,0.0,12000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,2.0,150.0,0,3,GOOD,0,0,0,1,2
0.0,1.0,500.0,0,4,POOR,1,0,0,0,3
1.0,2.0,2000.0,0,4,FAIR,1,0,0,0,2
0.0,2.0,2000.0,0,4,GOOD,1,0,0,0,2
1.0,2.0,0.0,0,3,FAIR,0,0,0,1,2
1.0,1.0,1700.0,0,3,GOOD,0,0,0,1,2
1.0,1.0,3000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,500.0,0,4,FAIR,1,0,0,0,2
0.0,0.0,1000.0,0,2,FAIR,0,0,1,0,2
0.0,2.0,7000.0,1,1,GOOD,0,1,0,0,2
1.0,1.0,1000.0,1,3,VERY GOOD,0,0,0,1,1
0.0,0.0,2650.0,1,4,VERY GOOD,1,0,0,0,1
1.0,3.0,340.0,0,3,FAIR,0,0,0,1,2
0.0,3.0,560.0,0,4,GOOD,1,0,0,0,2
2.0,1.0,310.0,0,4,GOOD,1,0,0,0,2
0.0,1.0,967.0,0,4,VERY GOOD,1,0,0,0,1
3.0,0.0,400.0,0,4,FAIR,1,0,0,0,2
0.0,3.0,1700.0,0,4,GOOD,1,0,0,0,2
21.0,1.0,2000.0,0,4,GOOD,1,0,0,0,2
0.0,0.0,7000.0,1,4,EXCELLENT,1,0,0,0,1
0.0,1.0,10000.0,1,4,EXCELLENT,1,0,0,0,1
0.0,0.0,300.0,1,4,VERY GOOD,1,0,0,0,1
6.0,1.0,500.0,0,4,EXCELLENT,1,0,0,0,1
1.0,0.0,8000.0,0,4,EXCELLENT,1,0,0,0,1
1.0,1.0,0.0,0,3,GOOD,0,0,0,1,2
0.0,0.0,3676.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,8000.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,9000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,1.0,4000.0,0,4,EXCELLENT,1,0,0,0,1
0.0,2.0,5000.0,1,4,EXCELLENT,1,0,0,0,1
2.0,1.0,500.0,0,3,VERY GOOD,0,0,0,1,1
7.0,0.0,3500.0,0,4,EXCELLENT,1,0,0,0,1
0.0,2.0,850.0,0,4,VERY GOOD,1,0,0,0,1
4.0,4.0,7000.0,1,3,FAIR,0,0,0,1,2
1.0,2.0,3800.0,1,2,EXCELLENT,0,0,1,0,1
2.0,3.0,2000.0,1,4,GOOD,1,0,0,0,2
1.0,1.0,4700.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,520.0,0,3,FAIR,0,0,0,1,2
1.0,2.0,0.0,0,3,FAIR,0,0,0,1,2
2.0,0.0,0.0,1,1,FAIR,0,1,0,0,2
1.0,0.0,800.0,1,4,EXCELLENT,1,0,0,0,1
3.0,0.0,1000.0,0,4,VERY GOOD,1,0,0,0,1
0.0,2.0,5000.0,1,4,FAIR,1,0,0,0,2
