price,crime
62000,135.9
36351,122
125000,46
46000,234
90000,122
51100,46
110000,122
43000,122
250000,46
135000,36.55
60000,234
110000,37.81
43500,53.48
48000,56.89
50000,123.18
115000,52
55000,46
130000,122
47750,122
41000,122
100000,46
110000,122
65000,122
88000,234
45000,122
45000,46
220861,46
45000,46
100000,122
45000,52
150000,125.29
92000,128.23
55000,125.72
62832,135.4
110000,46
70000,46
120000,122
65000,122
50000,234
230000,52
84000,46
45000,122
317000,46.84
80000,234
120000,46
40000,122
46000,234
65000,46
50000,46
240000,46
135000,34
86000,46
58000,46
55000,81.1
46000,35.05
49000,122
75000,122
80000,46
55000,46
170000,46
80300,218.57
78000,46
150000,44.98
60000,46
75000,46
110000,156
98000,46
46700,122
22000,122
150000,46
50000,122
60000,46
78000,46
140000,122
45000,122
152160,52
36000,122
85000,52
200000,46
32000,39.43
55000,55.32
62900,234
60000,46
75000,46
72000,51.94
70000,46
160000,122
80000,46
61000,52
60000,52
55000,46
110000,46
113400,119.01
85000,122
70000,46
48000,52
60000,122
173000,46
44900,80.83
130000,122
63000,52
105000,156
70000,122
98000,46
66000,46
98000,164.78
90000,122
55000,52
70000,46
46770,46
124000,52.45
75000,46
54000,52
68000,122
76400,195.48
32400,46
75000,46
65000,156
38000,45.87
42000,46
82000,46
42320,46
38000,52
75000,234
42000,122
195000,40.33
85000,234
130000,105.54
80920,46
62000,46
481000,46
90000,46
105000,46
120000,122
71350,122
85000,122
39471,52
53571,52
45000,46
60000,234
31000,52
55000,122
95000,46
90000,135.39
48000,122
26000,178.24
150000,34
29000,234
35000,213.86
43000,37.12
86000,46
29000,122
63000,234
170000,122
80000,46
70000,122
45000,234
50000,46
193725,46
96000,46
35000,46
110000,46
69000,38.93
65000,122
115000,80.68
82000,46
42000,52
100000,46
380000,46
47000,122
40000,47.85
48000,46
300000,46
240000,46
190000,34
125000,122
80804,52
120000,46
95200,46
39045,52
60000,46
45000,52
43000,52
150000,46
70000,46
60000,46
28631,215.77
35000,52
39000,46
58900,234
40000,46
39500,122
50447,52
100000,122
180000,46
39000,52
95000,46
44800,122
350000,46
65000,46
125000,46
90000,46
52000,46
160000,46
340000,46
85000,122
60000,46
26000,122
55000,46
40000,81.28
200000,46
82000,46
55000,46
85000,46.26
40000,46
130000,122
300000,46
58000,46
95000,46
96300,52
46000,46
120000,46
120000,122
48000,234
110000,122
180000,122
37500,105.67
62000,46
52000,46
80000,122
67000,52.01
60000,46
120000,122
130000,122
35000,52
97000,46
95000,46
21000,122
95000,122.08
57000,122
140000,38.8
240000,46
130000,46
100000,46
60000,57.33
240000,46
150000,122.64
35500,53.79
240000,46
185000,46
40154,122
60000,46
55000,34
36000,46
170000,46
28700,78.66
48000,122
33000,48.46
70000,122
40000,122
65000,46
130000,46
155000,34.66
59000,52
90000,122
80000,234
51200,234
55000,122
220000,46
82000,46
65000,46
75000,122
23900,52
40000,45.83
100000,46
120000,122
55000,46
120000,122
110000,46
75000,46
75000,46
220000,122
48000,234
46000,234
46000,54.86
105000,46
140000,122
220000,46
160000,37.23
80000,122
70000,122
42000,122
495000,234
280000,46
163000,46
71000,46
63000,46.26
310000,46
48000,122
68000,46
80000,52
27500,52
240000,46
47000,122
48900,234
58000,234
73000,46
101226,122
40000,52
130000,234
50000,46
160000,46
140000,122.7
60000,122
32500,52
110000,46
44000,234
45000,122
35700,122
65000,46
135000,46
68000,122
64284,135.71
82100,46
75000,122
120000,122
180000,122
68000,37.11
41000,122
78500,122
60000,122
92000,46
60000,52.87
85000,125.17
68000,156
78000,46
38000,52
65000,231.67
110000,122
150000,52
65000,122
85000,46
57500,122
65000,46
47000,46
57000,52
290000,46
35040,52
45000,58.35
93000,196.84
62000,122
320000,46
49900,234
48000,46
68000,46
52000,129.12
68600,46
48900,122
52000,52
69000,46
55000,122
45000,122
70000,106.71
86500,197.04
110000,46
400000,46
72000,122
170000,46
45000,46
85000,46
130000,122
66998,52.99
130000,46
42000,58.35
130000,122
370000,49.37
120000,46
47000,234
30000,122
42000,234
100000,46
35000,234
48000,122
110000,46
150000,46
90000,46
155000,46
80000,107.34
120000,89.1
85000,234
260000,46
66285,46
200000,43.41
180000,46
58000,45.65
85000,46
170000,156
90000,52
35000,42.27
37000,122
49900,122
41837,46
300000,34.06
72900,46
251000,234
130000,44.16
47000,52
45663,234
45000,122
46000,156
225000,46
89000,234
90000,46
120000,103.27
30000,234
60000,46
72500,67.36
48000,46
29000,212.96
37000,46
115000,122
120000,234
95000,34
60000,122
35000,46
40000,46
98000,52
130000,119.43
54936,52
60000,46
41000,122
32820,52
45000,135.4
33442,52
110000,183.28
320000,52
45000,46.33
35000,46
32500,52
90000,234
140000,43.78
70000,46
110000,122
120000,46
52500,122.14
100000,46
45000,46
40698,52
50000,234
48000,122
120900,122
80000,122
80000,46.16
105000,234
65000,34
85000,46
62000,59.44
130000,35.28
39000,35.95
50000,46
31900,122
50000,46
58900,234
55000,122
210000,46
73000,234
52000,59.44
460000,46
80000,46
42000,52
55000,46
52000,46
89000,46
58000,52
56000,234
90000,122
48000,38.76
230000,43.13
75000,54.92
57000,234
78000,156
54000,46
120000,46
45776,52
45000,122
95000,46
40000,46
320000,46
71375,234
92000,74.69
105000,156
28000,122
75000,46
75000,234
150000,118.38
60000,46
50000,122
300000,46
110000,46
88000,122
250000,46
70000,46
56443,234
110000,156
80000,46
111800,46
25984,234
105000,122
55000,45.99
82000,217.42
43608,46
130000,46
150000,122
55000,122
70000,59.44
65000,122
320000,46
290000,46
235000,52
95000,122
56000,122
75000,46
48000,122
220000,46
75000,46
130000,36.48
60000,122
135000,46
220000,52
160000,43.47
75000,46
69200,52
105000,46
276000,46
108850,46
52900,122
72000,122
62000,142.86
72000,136.85
28900,52
70000,46
350000,122
370000,46
58000,122
170000,35.65
60000,122
67379,46
40000,38.88
400000,46
70000,122
115000,46
80000,46
130000,46
50000,46
50000,52
130000,122
200000,122
137000,122
70000,46
55000,46
52000,234
55000,46
56000,46
55000,234
48000,122
110000,122
53360,46
39550,46
170000,46
65000,122
47200,122
65000,129.97
130000,46
130000,122
70000,46.09
180000,43.68
94000,52
39000,46
82000,46
185000,52
62000,134.82
60000,234
23000,52
29900,106.36
97000,234
61000,46
65000,122
47000,35.01
53000,52
50850,122
30000,122
41700,52
150000,34.61
150000,234
50000,46
58000,89.1
110000,46
33000,126.46
110000,122
29000,122
87000,46
145000,122
110000,122
29000,46
55000,234
190000,46
130000,46
65000,234
78000,46
58000,136.28
66700,122
30219,122
65000,234
95000,122
85000,46
90000,136.59
180000,46
115000,52.67
88500,46
35000,122
270000,52
44600,122
85000,46
50000,234
50000,46
35040,52
280000,234
57000,113.68
110000,122
46000,36.49
55000,122
70000,46.63
37000,122
62000,46
57000,234
60000,122
100000,122
120000,122
40000,122
135000,37.97
46000,46
65000,234
120000,122
47900,122
180000,34
85000,122
45000,122
90000,45.97
350000,46
380000,46
120000,46
78000,46
75000,46
140000,156
40000,122
27900,48.63
78000,46
30000,52
85000,46
94100,122
60000,46
220000,46
120000,122
35000,122
50000,234
70000,122
70000,122
59500,122
42000,56.91
138000,156
32000,122
105000,63.8
47000,46
90000,122
170000,43.64
85000,46
95000,46
90000,122
95000,46
200000,46
205000,118.38
151000,46
22000,52
120000,46
260000,46
180000,61.6
68000,46
55000,122
30000,122.02
52000,46
75000,46
50000,122
100000,52
58000,46
42000,190.9
51520,122
300000,234
35000,52
39990,122
53360,46
42000,234
75000,122
280000,52
33493,234
82000,46
76000,46
240000,46
70000,46
200000,122
85000,193.57
22000,234
67000,52
38000,122
85000,122
45000,234
135000,46
77000,234
35177,122
33000,122
65000,46
65000,46
22600,52
105000,69.86
140000,46
67000,46
32000,52
50000,234
70000,122
65000,122
79182,122
63000,123.88
68000,46
82000,44.94
50000,52
36000,122
30073,234
300000,46
118000,46
80000,46
70000,52
29900,38.48
120000,122
65000,34.58
66285,46
340000,46
120000,46
90000,80.21
30000,52
73000,122
45000,122
40000,122
99000,46
125000,115.53
163400,46
45000,122
65000,131.92
43000,234
80000,52
75000,67.36
110000,122
62000,46
30000,54.39
75000,234
72000,122
71350,122
45000,122
46000,52
46000,150.26
50000,46
43000,46
120000,46
115000,122
80000,122
44800,122
65000,122
150000,35.05
55800,52
300000,52
63000,46.29
47000,46
75000,52
56000,122
100000,46
410000,52
93288,52
42000,122
82000,56.52
40000,107.55
60000,122
200000,46
53000,234
47000,46
130000,46
31000,122
45000,122
26000,46
320000,52
120000,46
46000,150.26
95000,46
135000,46
65000,156
32000,46
74700,46
55000,46
170000,46
170000,52
95000,46
80000,122
75000,46
85000,56.89
160000,46
120000,46
80000,217.42
220000,46
94000,46
110000,46
80000,52.39
80000,46
100000,46
140000,46
110000,234
98000,122
75000,122
89000,46
45000,46
60000,234
38000,46
35000,52
60000,122
80000,46
40000,234
90000,46
170000,52
70000,122
33000,234
74000,46
48000,234
55000,122
165000,46
100000,122
125000,46
63000,46.21
65000,122
63000,52
230000,46
