price,distance
40000,0.69
40000,0.69
57900,0.68
65000,0.92
140000,0.69
150000,1.2
85000,0.77
68000,0.77
85000,0.77
79000,0.78
78000,0.78
65000,1.23
65000,1.24
100000,0.68
100000,0.69
44000,1.13
60000,0.91
60000,0.91
60000,0.91
135000,0.85
65000,0.96
158000,0.52
25000,9.46
95000,9.29
110000,2.62
72000,9.2
120000,2.98
105000,3.05
20000,5.67
21000,6.55
21500,5.84
21776,7.12
22000,5.13
22000,5.58
22000,4.19
22600,5.56
22600,5.56
22600,5.61
22600,5.61
22600,5.56
22600,5.6
23000,5.97
23000,5.61
23000,5.97
23000,5.97
23000,5.92
23000,5.61
23000,5.61
23000,3.87
23400,5.97
23400,5.97
23500,5.97
23700,4.19
23900,5.97
23900,5.97
23900,5.63
23900,5.63
23900,5.63
23900,5.65
24000,5.63
24000,4.19
24000,4.28
24000,5.74
24750,5.56
25000,5.83
25000,5.97
25000,5.97
25000,4.95
25097,5.62
25500,5.63
25505,6.46
25505,6.83
27000,6.09
27000,6.35
27500,5.87
27500,5.87
28000,5.86
28500,5.12
28900,5.87
28900,5.87
28900,5.87
28900,5.87
29000,5.59
29900,4.17
30000,5.12
30000,5.87
30000,6.1
30000,6.9
30000,5.53
30160,5.53
31000,5.31
31038,5.89
31038,5.85
31200,4.21
31457,5.65
31894,5.65
32000,5.84
32000,6.22
32000,6.22
32200,5.64
32500,5.12
32500,5.13
32500,5.13
32500,5.12
32820,4.52
33000,5.12
33442,6.52
34649,5.68
35000,6.36
35000,5.51
35000,5.68
35000,5.74
35000,5.36
35000,5.68
35000,6.58
35000,5.46
35000,6.35
35040,5.46
35040,5.46
35297,5.37
35910,3.87
35910,3.87
35910,3.87
36000,5.51
36500,6.37
36650,5.4
36769,5.75
36900,5.64
37000,5.55
37200,5.65
38000,5.9
38000,5.08
38500,5.53
38500,5.5
38500,5.66
39000,5.58
39000,4.69
39000,5.08
39000,5.08
39000,6.7
39045,4.71
39471,5.12
39501,3.87
39900,5.66
39900,5.69
39900,5.68
39900,5.68
39900,5.68
40000,4.73
40000,4.74
40000,5.08
40000,6.29
40000,7.12
40000,5.76
40000,6.52
40000,9.29
40000,5.2
40000,5.64
40600,5.67
40622,5.74
40698,3.87
40698,3.87
40900,5.14
40900,5.13
41000,5.25
41000,5.89
41000,5.88
41000,6.08
41300,4.94
41700,5.87
41700,5.81
41700,5.89
41705,5.46
41705,5.46
42000,5.08
42000,4.74
42000,5.08
42000,5.94
42000,5.96
42000,5.74
42000,5.92
42000,5.93
42000,5.08
42000,5.51
42000,6.12
42822,5.46
42880,5.25
42880,5.46
43000,5.85
43000,6.33
43300,6.01
43300,4.94
43500,5.46
43500,5.51
43648,5.12
44000,5.13
44000,5.53
44000,5.08
44249,5.46
45000,4.83
45000,6.09
45000,6.34
45000,6.02
45000,5.82
45000,6
45000,4.23
45000,4.23
