id,housing,influence,contact,satisfaction
1,1,1,1,1
2,1,1,1,1
3,1,1,1,1
4,1,1,1,1
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,1,1,1,1
11,1,1,1,1
12,1,1,1,1
13,1,1,1,1
14,1,1,1,1
15,1,1,1,1
16,1,1,1,1
17,1,1,1,1
18,1,1,1,1
19,1,1,1,1
20,1,1,1,1
21,1,1,1,1
22,1,1,1,2
23,1,1,1,2
24,1,1,1,2
25,1,1,1,2
26,1,1,1,2
27,1,1,1,2
28,1,1,1,2
29,1,1,1,2
30,1,1,1,2
31,1,1,1,2
32,1,1,1,2
33,1,1,1,2
34,1,1,1,2
35,1,1,1,2
36,1,1,1,2
37,1,1,1,2
38,1,1,1,2
39,1,1,1,2
40,1,1,1,2
41,1,1,1,2
42,1,1,1,2
43,1,1,1,3
44,1,1,1,3
45,1,1,1,3
46,1,1,1,3
47,1,1,1,3
48,1,1,1,3
49,1,1,1,3
50,1,1,1,3
51,1,1,1,3
52,1,1,1,3
53,1,1,1,3
54,1,1,1,3
55,1,1,1,3
56,1,1,1,3
57,1,1,1,3
58,1,1,1,3
59,1,1,1,3
60,1,1,1,3
61,1,1,1,3
62,1,1,1,3
63,1,1,1,3
64,1,1,1,3
65,1,1,1,3
66,1,1,1,3
67,1,1,1,3
68,1,1,1,3
69,1,1,1,3
70,1,1,1,3
71,1,1,2,1
72,1,1,2,1
73,1,1,2,1
74,1,1,2,1
75,1,1,2,1
76,1,1,2,1
77,1,1,2,1
78,1,1,2,1
79,1,1,2,1
80,1,1,2,1
81,1,1,2,1
82,1,1,2,1
83,1,1,2,1
84,1,1,2,1
85,1,1,2,2
86,1,1,2,2
87,1,1,2,2
88,1,1,2,2
89,1,1,2,2
90,1,1,2,2
91,1,1,2,2
92,1,1,2,2
93,1,1,2,2
94,1,1,2,2
95,1,1,2,2
96,1,1,2,2
97,1,1,2,2
98,1,1,2,2
99,1,1,2,2
100,1,1,2,2
101,1,1,2,2
102,1,1,2,2
103,1,1,2,2
104,1,1,2,3
105,1,1,2,3
106,1,1,2,3
107,1,1,2,3
108,1,1,2,3
109,1,1,2,3
110,1,1,2,3
111,1,1,2,3
112,1,1,2,3
113,1,1,2,3
114,1,1,2,3
115,1,1,2,3
116,1,1,2,3
117,1,1,2,3
118,1,1,2,3
119,1,1,2,3
120,1,1,2,3
121,1,1,2,3
122,1,1,2,3
123,1,1,2,3
124,1,1,2,3
125,1,1,2,3
126,1,1,2,3
127,1,1,2,3
128,1,1,2,3
129,1,1,2,3
130,1,1,2,3
131,1,1,2,3
132,1,1,2,3
133,1,1,2,3
134,1,1,2,3
135,1,1,2,3
136,1,1,2,3
137,1,1,2,3
138,1,1,2,3
139,1,1,2,3
140,1,1,2,3
141,1,2,1,1
142,1,2,1,1
143,1,2,1,1
144,1,2,1,1
145,1,2,1,1
146,1,2,1,1
147,1,2,1,1
148,1,2,1,1
149,1,2,1,1
150,1,2,1,1
151,1,2,1,1
152,1,2,1,1
153,1,2,1,1
154,1,2,1,1
155,1,2,1,1
156,1,2,1,1
157,1,2,1,1
158,1,2,1,1
159,1,2,1,1
160,1,2,1,1
161,1,2,1,1
162,1,2,1,1
163,1,2,1,1
164,1,2,1,1
165,1,2,1,1
166,1,2,1,1
167,1,2,1,1
168,1,2,1,1
169,1,2,1,1
170,1,2,1,1
171,1,2,1,1
172,1,2,1,1
173,1,2,1,1
174,1,2,1,1
175,1,2,1,2
176,1,2,1,2
177,1,2,1,2
178,1,2,1,2
179,1,2,1,2
180,1,2,1,2
181,1,2,1,2
182,1,2,1,2
183,1,2,1,2
184,1,2,1,2
185,1,2,1,2
186,1,2,1,2
187,1,2,1,2
188,1,2,1,2
189,1,2,1,2
190,1,2,1,2
191,1,2,1,2
192,1,2,1,2
193,1,2,1,2
194,1,2,1,2
195,1,2,1,2
196,1,2,1,2
197,1,2,1,3
198,1,2,1,3
199,1,2,1,3
200,1,2,1,3
201,1,2,1,3
202,1,2,1,3
203,1,2,1,3
204,1,2,1,3
205,1,2,1,3
206,1,2,1,3
207,1,2,1,3
208,1,2,1,3
209,1,2,1,3
210,1,2,1,3
211,1,2,1,3
212,1,2,1,3
213,1,2,1,3
214,1,2,1,3
215,1,2,1,3
216,1,2,1,3
217,1,2,1,3
218,1,2,1,3
219,1,2,1,3
220,1,2,1,3
221,1,2,1,3
222,1,2,1,3
223,1,2,1,3
224,1,2,1,3
225,1,2,1,3
226,1,2,1,3
227,1,2,1,3
228,1,2,1,3
229,1,2,1,3
230,1,2,1,3
231,1,2,1,3
232,1,2,1,3
233,1,2,2,1
234,1,2,2,1
235,1,2,2,1
236,1,2,2,1
237,1,2,2,1
238,1,2,2,1
239,1,2,2,1
240,1,2,2,1
241,1,2,2,1
242,1,2,2,1
243,1,2,2,1
244,1,2,2,1
245,1,2,2,1
246,1,2,2,1
247,1,2,2,1
248,1,2,2,1
249,1,2,2,1
250,1,2,2,2
251,1,2,2,2
252,1,2,2,2
253,1,2,2,2
254,1,2,2,2
255,1,2,2,2
256,1,2,2,2
257,1,2,2,2
258,1,2,2,2
259,1,2,2,2
260,1,2,2,2
261,1,2,2,2
262,1,2,2,2
263,1,2,2,2
264,1,2,2,2
265,1,2,2,2
266,1,2,2,2
267,1,2,2,2
268,1,2,2,2
269,1,2,2,2
270,1,2,2,2
271,1,2,2,2
272,1,2,2,2
273,1,2,2,3
274,1,2,2,3
275,1,2,2,3
276,1,2,2,3
277,1,2,2,3
278,1,2,2,3
279,1,2,2,3
280,1,2,2,3
281,1,2,2,3
282,1,2,2,3
283,1,2,2,3
284,1,2,2,3
285,1,2,2,3
286,1,2,2,3
287,1,2,2,3
288,1,2,2,3
289,1,2,2,3
290,1,2,2,3
291,1,2,2,3
292,1,2,2,3
293,1,2,2,3
294,1,2,2,3
295,1,2,2,3
296,1,2,2,3
297,1,2,2,3
298,1,2,2,3
299,1,2,2,3
300,1,2,2,3
301,1,2,2,3
302,1,2,2,3
303,1,2,2,3
304,1,2,2,3
305,1,2,2,3
306,1,2,2,3
307,1,2,2,3
308,1,2,2,3
309,1,2,2,3
310,1,2,2,3
311,1,2,2,3
312,1,2,2,3
313,1,3,1,1
314,1,3,1,1
315,1,3,1,1
316,1,3,1,1
317,1,3,1,1
318,1,3,1,1
319,1,3,1,1
320,1,3,1,1
321,1,3,1,1
322,1,3,1,1
323,1,3,1,2
324,1,3,1,2
325,1,3,1,2
326,1,3,1,2
327,1,3,1,2
328,1,3,1,2
329,1,3,1,2
330,1,3,1,2
331,1,3,1,2
332,1,3,1,2
333,1,3,1,2
334,1,3,1,3
335,1,3,1,3
336,1,3,1,3
337,1,3,1,3
338,1,3,1,3
339,1,3,1,3
340,1,3,1,3
341,1,3,1,3
342,1,3,1,3
343,1,3,1,3
344,1,3,1,3
345,1,3,1,3
346,1,3,1,3
347,1,3,1,3
348,1,3,1,3
349,1,3,1,3
350,1,3,1,3
351,1,3,1,3
352,1,3,1,3
353,1,3,1,3
354,1,3,1,3
355,1,3,1,3
356,1,3,1,3
357,1,3,1,3
358,1,3,1,3
359,1,3,1,3
360,1,3,1,3
361,1,3,1,3
362,1,3,1,3
363,1,3,1,3
364,1,3,1,3
365,1,3,1,3
366,1,3,1,3
367,1,3,1,3
368,1,3,1,3
369,1,3,1,3
370,1,3,2,1
371,1,3,2,1
372,1,3,2,1
373,1,3,2,2
374,1,3,2,2
375,1,3,2,2
376,1,3,2,2
377,1,3,2,2
378,1,3,2,3
379,1,3,2,3
380,1,3,2,3
381,1,3,2,3
382,1,3,2,3
383,1,3,2,3
384,1,3,2,3
385,1,3,2,3
386,1,3,2,3
387,1,3,2,3
388,1,3,2,3
389,1,3,2,3
390,1,3,2,3
391,1,3,2,3
392,1,3,2,3
393,1,3,2,3
394,1,3,2,3
395,1,3,2,3
396,1,3,2,3
397,1,3,2,3
398,1,3,2,3
399,1,3,2,3
400,1,3,2,3
401,2,1,1,1
402,2,1,1,1
403,2,1,1,1
404,2,1,1,1
405,2,1,1,1
406,2,1,1,1
407,2,1,1,1
408,2,1,1,1
409,2,1,1,1
410,2,1,1,1
411,2,1,1,1
412,2,1,1,1
413,2,1,1,1
414,2,1,1,1
415,2,1,1,1
416,2,1,1,1
417,2,1,1,1
418,2,1,1,1
419,2,1,1,1
420,2,1,1,1
421,2,1,1,1
422,2,1,1,1
423,2,1,1,1
424,2,1,1,1
425,2,1,1,1
426,2,1,1,1
427,2,1,1,1
428,2,1,1,1
429,2,1,1,1
430,2,1,1,1
431,2,1,1,1
432,2,1,1,1
433,2,1,1,1
434,2,1,1,1
435,2,1,1,1
436,2,1,1,1
437,2,1,1,1
438,2,1,1,1
439,2,1,1,1
440,2,1,1,1
441,2,1,1,1
442,2,1,1,1
443,2,1,1,1
444,2,1,1,1
445,2,1,1,1
446,2,1,1,1
447,2,1,1,1
448,2,1,1,1
449,2,1,1,1
450,2,1,1,1
451,2,1,1,1
452,2,1,1,1
453,2,1,1,1
454,2,1,1,1
455,2,1,1,1
456,2,1,1,1
457,2,1,1,1
458,2,1,1,1
459,2,1,1,1
460,2,1,1,1
461,2,1,1,1
462,2,1,1,2
463,2,1,1,2
464,2,1,1,2
465,2,1,1,2
466,2,1,1,2
467,2,1,1,2
468,2,1,1,2
469,2,1,1,2
470,2,1,1,2
471,2,1,1,2
472,2,1,1,2
473,2,1,1,2
474,2,1,1,2
475,2,1,1,2
476,2,1,1,2
477,2,1,1,2
478,2,1,1,2
479,2,1,1,2
480,2,1,1,2
481,2,1,1,2
482,2,1,1,2
483,2,1,1,2
484,2,1,1,2
485,2,1,1,3
486,2,1,1,3
487,2,1,1,3
488,2,1,1,3
489,2,1,1,3
490,2,1,1,3
491,2,1,1,3
492,2,1,1,3
493,2,1,1,3
494,2,1,1,3
495,2,1,1,3
496,2,1,1,3
497,2,1,1,3
498,2,1,1,3
499,2,1,1,3
500,2,1,1,3
501,2,1,1,3
502,2,1,2,1
503,2,1,2,1
504,2,1,2,1
505,2,1,2,1
506,2,1,2,1
507,2,1,2,1
508,2,1,2,1
509,2,1,2,1
510,2,1,2,1
511,2,1,2,1
512,2,1,2,1
513,2,1,2,1
514,2,1,2,1
515,2,1,2,1
516,2,1,2,1
517,2,1,2,1
518,2,1,2,1
519,2,1,2,1
520,2,1,2,1
521,2,1,2,1
522,2,1,2,1
523,2,1,2,1
524,2,1,2,1
525,2,1,2,1
526,2,1,2,1
527,2,1,2,1
528,2,1,2,1
529,2,1,2,1
530,2,1,2,1
531,2,1,2,1
532,2,1,2,1
533,2,1,2,1
534,2,1,2,1
535,2,1,2,1
536,2,1,2,1
537,2,1,2,1
538,2,1,2,1
539,2,1,2,1
540,2,1,2,1
541,2,1,2,1
542,2,1,2,1
543,2,1,2,1
544,2,1,2,1
545,2,1,2,1
546,2,1,2,1
547,2,1,2,1
548,2,1,2,1
549,2,1,2,1
550,2,1,2,1
551,2,1,2,1
552,2,1,2,1
553,2,1,2,1
554,2,1,2,1
555,2,1,2,1
556,2,1,2,1
557,2,1,2,1
558,2,1,2,1
559,2,1,2,1
560,2,1,2,1
561,2,1,2,1
562,2,1,2,1
563,2,1,2,1
564,2,1,2,1
565,2,1,2,1
566,2,1,2,1
567,2,1,2,1
568,2,1,2,1
569,2,1,2,1
570,2,1,2,1
571,2,1,2,1
572,2,1,2,1
573,2,1,2,1
574,2,1,2,1
575,2,1,2,1
576,2,1,2,1
577,2,1,2,1
578,2,1,2,1
579,2,1,2,1
580,2,1,2,2
581,2,1,2,2
582,2,1,2,2
583,2,1,2,2
584,2,1,2,2
585,2,1,2,2
586,2,1,2,2
587,2,1,2,2
588,2,1,2,2
589,2,1,2,2
590,2,1,2,2
591,2,1,2,2
592,2,1,2,2
593,2,1,2,2
594,2,1,2,2
595,2,1,2,2
596,2,1,2,2
597,2,1,2,2
598,2,1,2,2
599,2,1,2,2
600,2,1,2,2
601,2,1,2,2
602,2,1,2,2
603,2,1,2,2
604,2,1,2,2
605,2,1,2,2
606,2,1,2,2
607,2,1,2,2
608,2,1,2,2
609,2,1,2,2
610,2,1,2,2
611,2,1,2,2
612,2,1,2,2
613,2,1,2,2
614,2,1,2,2
615,2,1,2,2
616,2,1,2,2
617,2,1,2,2
618,2,1,2,2
619,2,1,2,2
620,2,1,2,2
621,2,1,2,2
622,2,1,2,2
623,2,1,2,2
624,2,1,2,2
625,2,1,2,2
626,2,1,2,3
627,2,1,2,3
628,2,1,2,3
629,2,1,2,3
630,2,1,2,3
631,2,1,2,3
632,2,1,2,3
633,2,1,2,3
634,2,1,2,3
635,2,1,2,3
636,2,1,2,3
637,2,1,2,3
638,2,1,2,3
639,2,1,2,3
640,2,1,2,3
641,2,1,2,3
642,2,1,2,3
643,2,1,2,3
644,2,1,2,3
645,2,1,2,3
646,2,1,2,3
647,2,1,2,3
648,2,1,2,3
649,2,1,2,3
650,2,1,2,3
651,2,1,2,3
652,2,1,2,3
653,2,1,2,3
654,2,1,2,3
655,2,1,2,3
656,2,1,2,3
657,2,1,2,3
658,2,1,2,3
659,2,1,2,3
660,2,1,2,3
661,2,1,2,3
662,2,1,2,3
663,2,1,2,3
664,2,1,2,3
665,2,1,2,3
666,2,1,2,3
667,2,1,2,3
668,2,1,2,3
669,2,2,1,1
670,2,2,1,1
671,2,2,1,1
672,2,2,1,1
673,2,2,1,1
674,2,2,1,1
675,2,2,1,1
676,2,2,1,1
677,2,2,1,1
678,2,2,1,1
679,2,2,1,1
680,2,2,1,1
681,2,2,1,1
682,2,2,1,1
683,2,2,1,1
684,2,2,1,1
685,2,2,1,1
686,2,2,1,1
687,2,2,1,1
688,2,2,1,1
689,2,2,1,1
690,2,2,1,1
691,2,2,1,1
692,2,2,1,1
693,2,2,1,1
694,2,2,1,1
695,2,2,1,1
696,2,2,1,1
697,2,2,1,1
698,2,2,1,1
699,2,2,1,1
700,2,2,1,1
701,2,2,1,1
702,2,2,1,1
703,2,2,1,1
704,2,2,1,1
705,2,2,1,1
706,2,2,1,1
707,2,2,1,1
708,2,2,1,1
709,2,2,1,1
710,2,2,1,1
711,2,2,1,1
712,2,2,1,2
713,2,2,1,2
714,2,2,1,2
715,2,2,1,2
716,2,2,1,2
717,2,2,1,2
718,2,2,1,2
719,2,2,1,2
720,2,2,1,2
721,2,2,1,2
722,2,2,1,2
723,2,2,1,2
724,2,2,1,2
725,2,2,1,2
726,2,2,1,2
727,2,2,1,2
728,2,2,1,2
729,2,2,1,2
730,2,2,1,2
731,2,2,1,2
732,2,2,1,2
733,2,2,1,2
734,2,2,1,2
735,2,2,1,2
736,2,2,1,2
737,2,2,1,2
738,2,2,1,2
739,2,2,1,2
740,2,2,1,2
741,2,2,1,2
742,2,2,1,2
743,2,2,1,2
744,2,2,1,2
745,2,2,1,2
746,2,2,1,2
747,2,2,1,3
748,2,2,1,3
749,2,2,1,3
750,2,2,1,3
751,2,2,1,3
752,2,2,1,3
753,2,2,1,3
754,2,2,1,3
755,2,2,1,3
756,2,2,1,3
757,2,2,1,3
758,2,2,1,3
759,2,2,1,3
760,2,2,1,3
761,2,2,1,3
762,2,2,1,3
763,2,2,1,3
764,2,2,1,3
765,2,2,1,3
766,2,2,1,3
767,2,2,1,3
768,2,2,1,3
769,2,2,1,3
770,2,2,1,3
771,2,2,1,3
772,2,2,1,3
773,2,2,1,3
774,2,2,1,3
775,2,2,1,3
776,2,2,1,3
777,2,2,1,3
778,2,2,1,3
779,2,2,1,3
780,2,2,1,3
781,2,2,1,3
782,2,2,1,3
783,2,2,1,3
784,2,2,1,3
785,2,2,1,3
786,2,2,1,3
787,2,2,2,1
788,2,2,2,1
789,2,2,2,1
790,2,2,2,1
791,2,2,2,1
792,2,2,2,1
793,2,2,2,1
794,2,2,2,1
795,2,2,2,1
796,2,2,2,1
797,2,2,2,1
798,2,2,2,1
799,2,2,2,1
800,2,2,2,1
801,2,2,2,1
802,2,2,2,1
803,2,2,2,1
804,2,2,2,1
805,2,2,2,1
806,2,2,2,1
807,2,2,2,1
808,2,2,2,1
809,2,2,2,1
810,2,2,2,1
811,2,2,2,1
812,2,2,2,1
813,2,2,2,1
814,2,2,2,1
815,2,2,2,1
816,2,2,2,1
817,2,2,2,1
818,2,2,2,1
819,2,2,2,1
820,2,2,2,1
821,2,2,2,1
822,2,2,2,1
823,2,2,2,1
824,2,2,2,1
825,2,2,2,1
826,2,2,2,1
827,2,2,2,1
828,2,2,2,1
829,2,2,2,1
830,2,2,2,1
831,2,2,2,1
832,2,2,2,1
833,2,2,2,1
834,2,2,2,1
835,2,2,2,2
836,2,2,2,2
837,2,2,2,2
838,2,2,2,2
839,2,2,2,2
840,2,2,2,2
841,2,2,2,2
842,2,2,2,2
843,2,2,2,2
844,2,2,2,2
845,2,2,2,2
846,2,2,2,2
847,2,2,2,2
848,2,2,2,2
849,2,2,2,2
850,2,2,2,2
851,2,2,2,2
852,2,2,2,2
853,2,2,2,2
854,2,2,2,2
855,2,2,2,2
856,2,2,2,2
857,2,2,2,2
858,2,2,2,2
859,2,2,2,2
860,2,2,2,2
861,2,2,2,2
862,2,2,2,2
863,2,2,2,2
864,2,2,2,2
865,2,2,2,2
866,2,2,2,2
867,2,2,2,2
868,2,2,2,2
869,2,2,2,2
870,2,2,2,2
871,2,2,2,2
872,2,2,2,2
873,2,2,2,2
874,2,2,2,2
875,2,2,2,2
876,2,2,2,2
877,2,2,2,2
